time,state_0,state_1
2.700000000001002e+01,-1.341613931369420e-01,2.156315830159945e-02
2.710000000001014e+01,-1.313642509647437e-01,3.429061990988223e-02
2.720000000001026e+01,-1.273229861531754e-01,4.642684382960483e-02
2.730000000001038e+01,-1.221022118521250e-01,5.786348078058141e-02
2.740000000001050e+01,-1.157769299834636e-01,6.850124754716212e-02
2.750000000001063e+01,-1.084315835793952e-01,7.825072960895881e-02
2.760000000001075e+01,-1.001590344903775e-01,8.703307025318187e-02
2.770000000001087e+01,-9.105947805333367e-02,9.478054159941918e-02
2.780000000001099e+01,-8.123930670497698e-02,1.014369942263303e-01
2.790000000001112e+01,-7.080993479281282e-02,1.069581833562080e-01
2.800000000001124e+01,-5.988659697761328e-02,1.113119708149693e-01
2.810000000001136e+01,-4.858713263699056e-02,1.144784032295165e-01
2.820000000001148e+01,-3.703076857245045e-02,1.164496681395718e-01
2.830000000001160e+01,-2.533691209548768e-02,1.172299308755996e-01
2.840000000001173e+01,-1.362396622649782e-02,1.168350561774796e-01
2.850000000001185e+01,-2.008178289187635e-03,1.152922195900777e-01
2.860000000001197e+01,9.397467370608965e-03,1.126394146625183e-01
2.870000000001209e+01,2.048430246174512e-02,1.089248628893691e-01
2.880000000001221e+01,3.114896427605050e-02,1.042063341566874e-01
2.890000000001234e+01,4.129431313761624e-02,9.855038618747844e-02
2.900000000001246e+01,5.083027012454513e-02,9.203153211420831e-02
2.910000000001258e+01,5.967456835478694e-02,8.473134583626776e-02
2.920000000001270e+01,6.775341211557238e-02,7.673751524450532e-02
2.930000000001283e+01,7.500203914088288e-02,6.814285371102577e-02
2.940000000001295e+01,8.136518239247099e-02,5.904428044941096e-02
2.950000000001307e+01,8.679742876626402e-02,4.954178044847166e-02
2.960000000001319e+01,9.126347321669409e-02,3.973735467276738e-02
2.970000000001331e+01,9.473826785591213e-02,2.973397110767931e-02
2.980000000001344e+01,9.720706663257414e-02,1.963452700901033e-02
2.990000000001356e+01,9.866536721587865e-02,9.540832401106081e-03
3.000000000001368e+01,9.911875269523777e-02,-4.473755415926324e-04
3.010000000001380e+01,9.858263664533556e-02,-1.023337809095188e-02
